Date,Crew,Site,Peddle Time (min),Species,TL (mm),Tag.1.e,Tag.2.e,Reward Tag #,2nd Reward Tag #,Radio Tag Frequency,Start coordinates,End Coordinates,TagLat,TagLong,,,
1/17/22,NCAT,3,43,ALB,459,296,293,293,296,148.053,NA,NA,33.784395,-86.06783383,,,
1/17/22,NCAT,3,43,LMB,437,275,273,275,273,148.621,NA,NA,33.784395,-86.06783383,,,
1/26/22,TJMAX,7,42:15:00,ALB,380,1338,NA,1338,NA,149.412,NA,NA,33.791465,-86.071867,,,
1/26/22,TJMAX,7,12:41,LMB,504,2022,NA,2022,NA,149.513,NA,NA,33.791465,-86.071867,,,
1/14/22,NCAT,8,28,ALB,527,2268,NA,2268,NA,148.594,NA,NA,33.79178,-86.068987,,,
1/14/22,NCAT,9,35,LMB,512,1053,NA,1053,NA,149.564,NA,NA,33.802172,-86.068987,,,
1/14/22,NCAT,11,40,ALB,413,259,NA,259,NA,148.954,NA,NA,33.80409117,-86.07345617,,,
1/26/22,TJMAX,11,20:50,ALB,479,1349,NA,1349,NA,149.453,NA,NA,33.80409117,-86.07345617,,,
1/14/22,NCAT,11,40,LMB,459,254,NA,254,NA,149.684,NA,NA,33.80409117,-86.07345617,,,
1/14/22,TJMAX,13,37:16:00,LMB,447,1298,NA,1298,NA,149.704,NA,NA,33.81258383,-86.075423,,,
1/14/22,TJMAX,16,36:27:00,LMB,356,1275,NA,1275,NA,149.673,NA,NA,33.80741117,-86.101245,,,
1/14/22,TJMAX,17,43:30:00,LMB,440,1290,NA,1290,NA,148.172,NA,NA,33.81291883,-86.09195,,,
1/17/22,TJMAX,24,34:40:00,LMB,413,1261,NA,1261,NA,148.112,24,25,33.84031,-86.07669883,,,
1/17/22,TJMAX,25,41:47:00,LMB,363,1289,NA,1289,NA,148.261,25,26,33.835995,-86.09171117,,,
1/17/22,TJMAX,27,50:15:00,LMB,415,935,NA,935,NA,148.062,27,28,33.83799383,-86.099145,,,
1/18/22,TJMAX,33,49:22:00,ALB,421,779,755,755,779,148.193,NA,NA,33.860132,-86.062525,,,
1/18/22,TJMAX,33,49:22:00,LMB,532,930,916,916,930,149.613,33,34,33.860132,-86.062525,,,
1/18/22,NCAT,34,47,ALB,385,1041,NA,1041,NA,148.681,NA,NA,33.864083,-86.074725,,,
1/27/22,NCAT,35,120,ALB,380,1175,1129,1129,1175,149.213,NA,NA,33.859857,-86.08713117,,,
1/21/22,NCAT,35,47,LMB,532,416,NA,416,NA,149.241,NA,NA,33.859857,-86.08713117,,,
1/18/22,NCAT,39,43,LMB,478,1050,NA,1050,NA,148.162,NA,NA,33.855583,-86.11013117,,,
1/18/22,NCAT,39,43,LMB,420,1005,1004,1004,1005,148.203,NA,NA,33.855583,-86.11013117,,,
1/21/22,NCAT,40,1:15,LMB,455,1035,NA,1035,NA,149.334,NA,NA,33.85845117,-86.10507883,,,
1/21/22,NCAT,40,115,ALB,497,395,NA,395,NA,149.493,NA,NA,33.85845117,-86.10507883,,,
1/27/22,NCAT,41,26,ALB,439,1158,1067,1158,1067,149.534,NA,NA,33.86174883,-86.09969883,,,
1/19/22,NCAT,45,30,LMB,418,1043,NA,1043,NA,148.831,NA,NA,33.878253,-86.10625883,,,
1/19/22,NCAT,50,37,LMB,395,2317,NA,2317,NA,148.211,NA,NA,33.88438617,-86.102695,,,
1/19/22,NCAT,52,37,LMB,428,1018,1007,1007,1018,148.021,NA,NA,33.877383,-86.09570383,,,
1/17/22,NCAT,54,45,LMB,460,277,NA,277,NA,148.031,NA,NA,33.86689883,-86.089978,,,
1/18/22,NCAT,55,30,LMB,472,447,NA,447,NA,148.323,NA,NA,33.866213,-86.083218,,,
1/18/22,TJMAX,58,45:25:00,LMB,423,949,905,949,905,148.152,NA,NA,33.872582,-86.06549,,,
1/11/22,TJMAX,60,70,ALB,365,680,NA,680,NA,148.081,61,60,33.888892,-86.069385,,,
1/11/22,TJMAX,60,70,LMB,485,1247,NA,1247,NA,148.711,61,60,33.888892,-86.069385,,,
1/27/22,TJMAX,61,21:49,ALB,450,1392,NA,1392,NA,148.041,NA,NA,33.89838117,-86.075193,,,
1/27/22,TJMAX,61,28:27:00,ALB,430,1337,NA,1337,NA,148.24,NA,NA,33.89838117,-86.075193,,,
1/12/22,TJMAX,64,40:41:00,LMB,436,602,NA,602,NA,148.232,63,64,33.927753,-86.05248617,,,
1/26/22,TJMAX,66,23:19,ALB,460,954,NA,954,NA,148.652,NA,NA,33.94386383,-86.026867,,,
1/26/22,TJMAX,66,23:19,ALB,386,977,NA,977,NA,149.291,NA,NA,33.94386383,-86.026867,,,
1/26/22,TJMAX,66,33:39:00,ALB,472,1348,1344,1344,1348,149.442,NA,NA,33.94386383,-86.026867,,,
1/26/22,TJMAX,66,33:39:00,ALB,393,969,963,969,963,149.483,NA,NA,33.94386383,-86.026867,,,
1/21/22,TJMAX,67,41:37:00,LMB,391,945,854,854,945,148.3,NA,NA,33.949282,-86.018697,,,
1/13/22,TJMAX,70,39:53:00,LMB,416,1252,NA,1252,NA,148.343,NA,NA,33.94856117,-86.0045,,,
1/13/22,TJMAX,70,39:53:00,LMB,464,1255,NA,1255,NA,149.363,NA,NA,33.94856117,-86.0045,,,
1/13/22,TJMAX,71,41:34:00,LMB,494,1238,NA,1238,NA,149.623,NA,NA,33.943347,-85.99714883,,,
1/19/21,TJMAX,75,50:27:00,LMB,371,2035,NA,2035,NA,148.072,NA,NA,33.933668,-85.970063,,,
1/19/21,TJMAX,80,33:22:00,LMB,360,1339,NA,1334,NA,149.781,NA,NA,33.951085,-85.963663,,,
1/21/22,TJMAX,82,36:20:00,LMB,372,2007,NA,2007,NA,149.732,NA,NA,33.964658,-85.9794,,,
1/25/21,TJMAX,83,38:07:00,ALB,435,978,964,964,978,149.421,NA,NA,33.968622,-85.989864,,,
1/26/22,NCAT,83,16,ALB,416,555,NA,555,NA,149.595,NA,NA,33.968622,-85.989864,,,
1/13/22,NCAT,85,35,LMB,452,498,NA,498,NA,148.605,NA,NA,33.978697,-86.003161,,,
1/13/22,NCAT,86,35,ALB,457,493,483,493,483,148.89,87,86,33.982253,-86.004099,,,
1/13/22,NCAT,86,35,LMB,491,477,452,452,477,149.542,NA,NA,33.982253,-86.004099,,,
1/26/22,NCAT,88,120,ALB,434,2282,NA,2282,NA,148.141,NA,NA,33.987203,-86.000184,,,
1/26/22,NCAT,88,120,ALB,417,1192,1065,1065,1192,148.251,89,88,33.987203,-86.000184,,,
1/26/22,NCAT,88,120,ALB,446,222,NA,222,NA,149.264,89,88,33.987203,-86.000184,,,
1/12/22,NCAT,88,46,LMB,387,1232,NA,1232,NA,149.556,NA,NA,33.987203,-86.000184,,,
1/12/22,NCAT,88,46,ALB,445,1220,NA,1220,NA,149.604,NA,NA,33.987203,-86.000184,,,
1/12/22,NCAT,88,46,LMB,506,1224,NA,1224,NA,149.761,NA,NA,33.987203,-86.000184,,,
1/26/22,NCAT,88,120,ALB,405,1193,NA,1193,NA,149.772,NA,NA,33.987203,-86.000184,,,
