DATE,Month,Day,Year,TagSite,Species,TL,RewardTag1,RewardTag2,Radio.Tag.Frequency,Code,Combined,Group,Notes,Lat,Long,A/D,GroupMovement,Ramp
6/21/23,6,21,2023,6,ALB,376,4494,413,150.333,L-96,150.333L-96,U,"34.1124217, -85.763612, DEAD RIVER FOUND BY FLIGHT on March 7th",34.00144,-85.90399,A,A,CL
5/7/23,5,7,2023,12,ALB,354,5069,NA,150.333,I-3,150.333I-3,U,"CL, TJ, 5/7/23",34.010097,-85.997069,A,A,CL
5/9/23,5,9,2023,12,ALB,354,5069,NA,150.333,I-3,150.333I-3,U,,33.9866,-86.00034,A,A,CL
5/25/23,5,25,2023,12,ALB,354,5069,NA,150.333,I-3,150.333I-3,U,,33.98916,-85.99971,A,A,CL
6/6/23,6,6,2023,12,ALB,354,5069,NA,150.333,I-3,150.333I-3,U,,33.98891,-85.9998,A,A,CL
5/20/23,5,20,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,"5/20/23, CL, REPORTED",34.010097,-85.997069,A,A,CL
5/25/23,5,25,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,,34.01194,-85.99527,A,A,CL
6/6/23,6,6,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,,33.96554,-85.97484,A,A,CL
6/21/23,6,21,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,,33.96539,-85.97492,A,A,CL
7/7/23,7,7,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,,33.96544,-85.97476,A,A,CL
7/18/23,7,18,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,,33.96546,-85.97477,D,A,CL
8/4/23,8,4,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,,33.96541,-85.97483,D,D,CL
8/27/23,8,27,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,,33.96543,-85.97472,A,D,CL
9/11/23,9,11,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,,33.96547,-85.97478,D,D,CL
9/25/23,9,25,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,,33.96554,-85.97488,D,D,CL
10/9/23,10,9,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,,33.96561,-85.97489,D,D,CL
10/23/23,10,23,2023,88,ALB,415,5061,NA,150.222,I-5,150.222I-5,L,"Tag on dry land on 11/3/2023, removed",33.96551,-85.97478,D,D,CL
5/7/23,5,7,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,"5/7/23, CL, REPORTED",34.010097,-85.997069,A,A,CL
5/25/23,5,25,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,34.01332,-85.99551,A,A,CL
6/22/23,6,22,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93302,-85.97149,A,A,CL
7/7/23,7,7,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93299,-85.97122,D,A,CL
7/18/23,7,18,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93295,-85.97146,D,D,CL
8/4/23,8,4,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93301,-85.97127,D,D,CL
8/26/23,8,26,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93302,-85.97124,D,D,CL
9/10/23,9,10,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93303,-85.97137,D,D,CL
9/25/23,9,25,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93305,-85.97148,D,D,CL
10/9/23,10,9,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93301,-85.97135,D,D,CL
10/23/23,10,23,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93292,-85.97123,D,D,CL
11/3/23,11,3,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93289,-85.97134,D,D,CL
11/16/23,11,16,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93302,-85.97138,D,D,CL
12/4/23,12,4,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93305,-85.97126,D,D,CL
12/19/23,12,19,2023,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,,33.93306,-85.97134,D,D,CL
1/4/24,1,4,2024,123,ALB,458,1755,1756,150.132,I-3,150.132I-3,L,Removed 1/16/23,33.933,-85.97124,D,D,CL
5/20/23,5,20,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,"5/20/23, RAINBOW, REPORTED",33.943167,-86.027908,A,A,RL
5/24/23,5,24,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93714,-86.03087,A,A,RL
6/5/23,6,5,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.94403,-86.02654,A,A,RL
6/22/23,6,22,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.94165,-86.03079,A,A,RL
7/7/23,7,7,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93904,-86.03416,D,A,RL
7/17/23,7,17,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93906,-86.03413,D,D,RL
8/4/23,8,4,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93898,-86.03422,D,D,RL
8/26/23,8,26,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93909,-86.03431,D,D,RL
9/10/23,9,10,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93903,-86.03426,D,D,RL
9/24/23,9,24,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93896,-86.03431,D,D,RL
10/8/23,10,8,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93908,-86.0343,D,D,RL
10/23/23,10,23,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93908,-86.03422,D,D,RL
11/3/23,11,3,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93898,-86.03437,D,D,RL
11/16/23,11,16,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93906,-86.03431,D,D,RL
12/3/23,12,3,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93904,-86.03433,D,D,RL
12/18/23,12,18,2023,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,,33.93904,-86.03429,D,D,RL
1/3/24,1,3,2024,122,ALB,400,4287,NA,150.132,I-21,150.132I-21,L,Removed 1/16/23,33.93898,-86.03425,D,D,RL
3/25/23,3,25,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,"3/25/23, SOUTHSIDE, REPORTED",33.943143,-86.022986,A,A,SS
4/13/23,4,13,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.99164,-85.99945167,A,A,SS
5/1/23,5,1,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.97166,-85.98093,A,A,SS
5/9/23,5,9,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.97255,-85.99104,A,A,SS
5/25/23,5,25,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.96973,-85.98964,A,A,SS
6/6/23,6,6,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.96959,-85.99,D,A,SS
7/7/23,7,7,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.96963,-85.98989,A,D,SS
7/18/23,7,18,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.96955,-85.9899,D,D,SS
8/3/23,8,3,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.96961,-85.98989,D,D,SS
8/27/23,8,27,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.96957,-85.98995,D,D,SS
9/11/23,9,11,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.96959,-85.98994,D,D,SS
9/25/23,9,25,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.96956,-85.98991,D,D,SS
10/9/23,10,9,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,,33.96957,-85.98986,D,D,SS
10/23/23,10,23,2023,57,LMB,525,117,NA,150.132,I-13,150.132I-13,U,"Tag on dry land on 11/3/2023, removed",33.96956,-85.98994,D,D,SS
6/17/23,6,17,2023,33,LMB,411,1707,NA,150.132,I-15,150.132I-15,U,"CAUGHT, 6/17/2023, CL, TJ",34.010097,-85.997069,A,A,CL
6/21/23,6,21,2023,33,LMB,411,1707,NA,150.132,I-15,150.132I-15,U,,34.00753,-85.99888,A,A,CL
7/7/23,7,7,2023,33,LMB,411,1707,NA,150.132,I-15,150.132I-15,U,,34.00752,-85.99873,A,A,CL
7/18/23,7,18,2023,33,LMB,411,1707,NA,150.132,I-15,150.132I-15,U,,34.00747,-85.99885,A,A,CL
8/4/23,8,4,2023,33,LMB,411,1707,NA,150.132,I-15,150.132I-15,U,,34.00837,-85.99839,A,A,CL
8/27/23,8,27,2023,33,LMB,411,1707,NA,150.132,I-15,150.132I-15,U,,34.00831,-85.99839,A,A,CL
9/11/23,9,11,2023,33,LMB,411,1707,NA,150.132,I-15,150.132I-15,U,,34.00833,-85.99837,A,A,CL
9/25/23,9,25,2023,33,LMB,411,1707,NA,150.132,I-15,150.132I-15,U,,34.00836,-85.99834,A,A,CL
10/9/23,10,9,2023,33,LMB,411,1707,NA,150.132,I-15,150.132I-15,U,,34.00843,-85.99838,A,A,CL
10/23/23,10,23,2023,33,LMB,411,1707,NA,150.132,I-15,150.132I-15,U,"Tag on dry land on 11/3/2023, removed",34.00831,-85.99836,D,A,CL
6/9/23,6,9,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,"CAUGHT on 6/9/2023, Canoe, Reported",33.86489,-86.103935,A,A,CC
6/22/23,6,22,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.85903,-86.09251,A,A,CC
7/6/23,7,6,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.89242,-86.11052,A,A,CC
7/17/23,7,17,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88587,-86.11249,A,A,CC
8/3/23,8,3,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88669,-86.11275,D,A,CC
8/26/23,8,26,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88665,-86.11269,D,D,CC
9/10/23,9,10,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88667,-86.11266,D,D,CC
9/24/23,9,24,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88675,-86.11288,D,D,CC
10/8/23,10,8,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88673,-86.11282,D,D,CC
10/23/23,10,23,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88677,-86.11277,D,D,CC
11/3/23,11,3,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88667,-86.11273,D,D,CC
11/16/23,11,16,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88654,-86.11265,D,D,CC
12/3/23,12,3,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88669,-86.11246,D,D,CC
12/18/23,12,18,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,,33.88649,-86.11225,D,D,CC
1/3/24,1,3,2024,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,Removed 1/16/23,33.88659,-86.11278,D,D,CC
4/27/23,4,27,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,"4/27/23, CL, Reported",34.010097,-85.997069,A,A,CL
4/30/23,4,30,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,Error in Report?,33.91745,-86.05886,A,A,CL
5/8/23,5,8,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.91698,-86.05882,A,A,CL
5/24/23,5,24,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.91757,-86.05851,A,A,CL
6/21/23,6,21,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,MASSIVE MOVE,33.963,-85.97389,D,A,CL
7/7/23,7,7,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.96315,-85.97387,D,D,CL
7/18/23,7,18,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.96297,-85.97391,D,D,CL
8/4/23,8,4,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.96298,-85.97394,D,D,CL
8/27/23,8,27,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.96311,-85.97411,D,D,CL
9/11/23,9,11,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.96316,-85.97397,D,D,CL
9/25/23,9,25,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.96314,-85.97402,D,D,CL
10/9/23,10,9,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.9631,-85.97396,D,D,CL
10/23/23,10,23,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.96302,-85.97399,D,D,CL
11/16/23,11,16,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.96309,-85.97394,D,D,CL
12/4/23,12,4,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.96299,-85.97389,D,D,CL
12/19/23,12,19,2023,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,,33.96305,-85.97401,D,D,CL
1/4/24,1,4,2024,59,LMB,479,2410,NA,150.333,L-98,150.333L-98,U,Removed 1/16/23,33.96317,-85.97409,D,D,CL
6/6/23,6,6,2023,43,LMB,476,2447,NA,150.333,L-90,150.333L-90,U,"6/6/23, CL, Reported",34.010097,-85.997069,A,A,CL
6/21/23,6,21,2023,43,LMB,476,2447,NA,150.333,L-90,150.333L-90,U,,34.0152,-85.99058,A,A,CL
5/27/23,5,27,2023,169,LMB,498,3,NA,150.333,J-38,150.333J-38,,"5/27/23, CL, Reported",34.010097,-85.997069,A,A,CL
5/7/23,5,7,2023,197,LMB,505,62,NA,150.132,I-19,150.132I-19,U,"5/7/23, CL, Reported",34.010097,-85.997069,A,A,CL
5/9/23,5,9,2023,197,LMB,505,62,NA,150.132,I-19,150.132I-19,U,,34.00887,-85.99808,A,A,CL
5/25/23,5,25,2023,197,LMB,505,62,NA,150.132,I-19,150.132I-19,U,,33.99024,-86.00524,A,A,CL
6/6/23,6,6,2023,197,LMB,505,62,NA,150.132,I-19,150.132I-19,U,,33.99032,-86.00289,A,A,CL
6/21/23,6,21,2023,197,LMB,505,62,NA,150.132,I-19,150.132I-19,U,,33.99033,-86.00322,A,A,CL
7/7/23,7,7,2023,197,LMB,505,62,NA,150.132,I-19,150.132I-19,U,,33.98807,-86.00067,A,A,CL
7/18/23,7,18,2023,197,LMB,505,62,NA,150.132,I-19,150.132I-19,U,,33.9903,-86.00266,A,A,CL
9/10/23,9,10,2023,197,LMB,505,62,NA,150.132,I-19,150.132I-19,U,big move up black,34.007867,-86.029998,A,A,CL
4/29/23,4,29,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,"4/29/23, Canoe, Reported (said no transmitter)",33.86489,-86.103935,A,A,CC
7/17/23,7,17,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.86497,-86.10351,D,A,CC
8/3/23,8,3,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.86509,-86.10359,D,D,CC
8/26/23,8,26,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.86498,-86.10364,D,D,CC
9/10/23,9,10,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.86499,-86.10373,D,D,CC
9/24/23,9,24,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.86501,-86.1036,D,D,CC
10/8/23,10,8,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.86501,-86.10361,D,D,CC
10/23/23,10,23,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.865,-86.1036,D,D,CC
11/3/23,11,3,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.86506,-86.10367,D,D,CC
11/16/23,11,16,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.86496,-86.10367,D,D,CC
12/3/23,12,3,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.86497,-86.10363,D,D,CC
12/18/23,12,18,2023,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,,33.86492,-86.10364,D,D,CC
1/3/24,1,3,2024,50,LMB,511,1432,NA,150.333,L-88,150.333L-88,,Removed 1/16/23,33.86502,-86.10362,D,D,CC
6/24/23,6,24,2023,45,LMB,482,1450,NA,150.222,I-18,150.222I-18,U,"6/24/23, CL, TJ",34.010097,-85.997069,A,A,CL
7/7/23,7,7,2023,45,LMB,482,1450,NA,150.222,I-18,150.222I-18,U,,33.97872,-85.99521,D,A,CL
7/18/23,7,18,2023,45,LMB,482,1450,NA,150.222,I-18,150.222I-18,U,,33.97875,-85.9952,D,D,CL
8/4/23,8,4,2023,45,LMB,482,1450,NA,150.222,I-18,150.222I-18,U,,33.97871,-85.99524,D,D,CL
8/27/23,8,27,2023,45,LMB,482,1450,NA,150.222,I-18,150.222I-18,U,,33.97874,-85.9952,D,D,CL
9/11/23,9,11,2023,45,LMB,482,1450,NA,150.222,I-18,150.222I-18,U,,33.97875,-85.9952,D,D,CL
9/25/23,9,25,2023,45,LMB,482,1450,NA,150.222,I-18,150.222I-18,U,,33.97871,-85.99522,D,D,CL
10/9/23,10,9,2023,45,LMB,482,1450,NA,150.222,I-18,150.222I-18,U,,33.97872,-85.99522,D,D,CL
10/23/23,10,23,2023,45,LMB,482,1450,NA,150.222,I-18,150.222I-18,U,"Tag on dry land on 11/3/2023, removed",33.97866,-85.99517,D,D,CL
6/24/23,6,24,2023,177,LMB,520,741,,150.333,L-86,150.333L-86,U,"6/24/23, CL, TJ",34.010097,-85.997069,A,A,CL
7/7/23,7,7,2023,177,LMB,520,741,,150.333,L-86,150.333L-86,U,,33.99156,-85.99773,A,A,CL
7/18/23,7,18,2023,177,LMB,520,741,,150.333,L-86,150.333L-86,U,,33.97017,-85.986,A,A,CL
8/4/23,8,4,2023,177,LMB,520,741,,150.333,L-86,150.333L-86,U,,33.9701,-85.98596,A,A,CL
8/27/23,8,27,2023,177,LMB,520,741,,150.333,L-86,150.333L-86,U,,33.97012,-85.9859,D,A,CL
9/11/23,9,11,2023,177,LMB,520,741,,150.333,L-86,150.333L-86,U,,33.97011,-85.98587,D,D,CL
9/25/23,9,25,2023,177,LMB,520,741,,150.333,L-86,150.333L-86,U,,33.97017,-85.98582,A,D,CL
10/9/23,10,9,2023,177,LMB,520,741,,150.333,L-86,150.333L-86,U,,33.9701,-85.9858,A,D,CL
10/23/23,10,23,2023,177,LMB,520,741,,150.333,L-86,150.333L-86,U,"Tag on dry land on 11/3/2023, removed",33.97013,-85.98592,A,D,CL
7/11/23,7,11,2023,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,"7/11/23, CL, Reported",34.010097,-85.997069,A,A,CL
7/18/23,7,18,2023,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,,34.01191,-85.99527,A,A,CL
8/4/23,8,4,2023,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,,34.00929,-85.99798,A,A,CL
9/11/23,9,11,2023,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,,34.00938,-85.99784,A,A,CL
9/25/23,9,25,2023,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,,34.00925,-85.99806,D,A,CL
10/9/23,10,9,2023,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,,34.00937,-85.99787,D,D,CL
10/23/23,10,23,2023,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,,34.00936,-85.99791,D,D,CL
11/3/23,11,3,2023,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,,34.00936,-85.99801,D,D,CL
12/4/23,12,4,2023,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,,34.00933,-85.9979,D,D,CL
12/19/23,12,19,2023,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,,34.00938,-85.99787,D,D,CL
1/4/24,1,4,2024,31,ALB,390,2407,NA,150.222,L-97,150.222L-97,U,Removed 1/16/23,34.0093,-85.99792,D,D,CL
10/28/23,10,28,2023,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,"CAUGHT on 10/28, CC, NAT",33.86489,-86.103935,A,A,CC
11/3/23,11,3,2023,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,,33.86561,-86.1043,A,A,CC
11/16/23,11,16,2023,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,,33.86005,-86.09826,A,A,CC
12/3/23,12,3,2023,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,,33.85835,-86.09563,A,A,CC
1/3/24,1,3,2024,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,,33.85912,-86.09676,A,A,CC
1/26/24,1,26,2024,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,,33.86032,-86.09717,A,A,CC
2/9/24,2,9,2024,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,,33.85929,-86.09837,A,A,CC
2/23/24,2,23,2024,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,,33.86028,-86.09844,A,A,CC
5/3/24,5,3,2024,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,,33.90163,-86.10902,A,A,CC
5/15/24,5,15,2024,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,,33.90161,-86.10901,A,A,CC
5/29/24,5,29,2024,178,LMB,420,1745,,150.132,I-12,150.132I-12,U,,33.90095,-86.13071,A,A,CC
11/11/23,11,11,2023,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,"CAUGHT on 11/11/23, CL, TJ",34.010097,-85.997069,A,A,CL
12/4/23,12,4,2023,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.00662,-86.00029,A,A,CL
12/19/23,12,19,2023,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.01234,-85.95349,A,A,CL
1/4/24,1,4,2024,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.0125,-85.95257,A,A,CL
2/10/24,2,10,2024,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.0145,-85.9546,A,A,CL
2/24/24,2,24,2024,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.01245,-85.95265,A,A,CL
3/8/24,3,8,2024,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.01098,-85.95374,A,A,CL
3/29/24,3,29,2024,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.01364,-85.95468,A,A,CL
4/20/24,4,20,2024,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.01656,-85.95314,A,A,CL
5/3/24,5,3,2024,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.01259,-85.95017,A,A,CL
5/15/24,5,15,2024,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.01108,-85.95208,A,A,CL
5/29/24,5,29,2024,167,LMB,532,1444,1443,150.222,I-16,150.222I-16,U,,34.01151,-85.95214,A,A,CL
