"","Site","Species","n","DDLat","DDLong"
"1",1,"ALB",2,34.01628551,-85.94557137
"2",1,"LMB",1,34.01628551,-85.94557137
"3",6,"ALB",7,34.00596444,-85.90323052
"4",6,"LMB",1,34.00596444,-85.90323052
"5",10,"LMB",1,33.99961511,-85.88293573
"6",10,"ALB",5,33.99961511,-85.88293573
"7",11,"ALB",1,33.9908578,-85.88332756
"8",12,"ALB",1,33.98761449,-85.8981915
"9",14,"ALB",3,34.01145924,-85.91107092
"10",21,"LMB",13,34.01572051,-85.94111653
"11",23,"LMB",1,34.01436952,-85.94040426
"12",24,"LMB",3,34.01236499,-85.94901232
"13",24,"ALB",2,34.01236499,-85.94901232
"14",26,"LMB",1,34.00719688,-85.95680718
"15",26,"ALB",1,34.00719688,-85.95680718
"16",27,"LMB",1,34.01054997,-85.96464629
"17",27,"ALB",7,34.01054997,-85.96464629
"18",31,"LMB",11,34.00530715,-85.9992684
"19",31,"ALB",32,34.00530715,-85.9992684
"20",32,"LMB",8,33.99501705,-85.99977852
"21",33,"ALB",12,33.99581705,-85.99383139
"22",33,"LMB",8,33.99581705,-85.99383139
"23",36,"LMB",12,33.97008002,-85.98417974
"24",36,"ALB",1,33.97008002,-85.98417974
"25",37,"LMB",4,33.97308528,-85.97917557
"26",37,"ALB",1,33.97308528,-85.97917557
"27",38,"LMB",11,33.96399742,-85.97012871
"28",39,"LMB",12,33.966921,-85.96429853
"29",41,"ALB",2,33.95791902,-85.96367204
"30",41,"LMB",13,33.95791902,-85.96367204
"31",42,"ALB",5,33.95273164,-85.95827413
"32",42,"LMB",17,33.95273164,-85.95827413
"33",43,"LMB",2,33.94967998,-85.95514884
"34",44,"LMB",2,33.95914295,-85.95627928
"35",45,"LMB",9,33.94844029,-85.95134739
"36",47,"ALB",7,33.93360177,-85.95417948
"37",47,"LMB",11,33.93360177,-85.95417948
"38",50,"LMB",7,33.93405915,-85.99320838
"39",50,"ALB",2,33.93405915,-85.99320838
"40",57,"LMB",17,33.93310833,-86.0304162
"41",59,"LMB",2,33.92074898,-86.05445562
"42",65,"LMB",2,33.88197744,-86.05206192
"43",66,"LMB",4,33.88418897,-86.05015104
"44",67,"LMB",2,33.88663442,-86.04866362
"45",68,"LMB",7,33.8858574,-86.04491396
"46",70,"LMB",7,33.87898657,-86.0409414
"47",70,"ALB",4,33.87898657,-86.0409414
"48",71,"ALB",4,33.87195876,-86.05455109
"49",71,"LMB",6,33.87195876,-86.05455109
"50",73,"ALB",5,33.85859905,-86.05218741
"51",73,"LMB",6,33.85859905,-86.05218741
"52",74,"ALB",19,33.8590745,-86.04381273
"53",74,"LMB",9,33.8590745,-86.04381273
"54",75,"ALB",11,33.8473324,-86.05024701
"55",75,"LMB",2,33.8473324,-86.05024701
"56",76,"LMB",3,33.84068838,-86.06346255
"57",76,"ALB",13,33.84068838,-86.06346255
"58",77,"ALB",7,33.83680058,-86.05161749
"59",80,"LMB",1,33.82597368,-86.04563492
"60",80,"ALB",1,33.82597368,-86.04563492
"61",84,"ALB",1,33.81326834,-86.03991357
"62",85,"ALB",6,33.81677395,-86.05132649
"63",85,"LMB",5,33.81677395,-86.05132649
"64",88,"LMB",6,33.79843895,-86.05704445
"65",88,"ALB",24,33.79843895,-86.05704445
"66",90,"ALB",5,33.79167422,-86.05046446
"67",90,"LMB",3,33.79167422,-86.05046446
"68",91,"LMB",6,33.78712945,-86.05288195
"69",91,"ALB",24,33.78712945,-86.05288195
"70",95,"ALB",9,33.79115824,-86.08377878
"71",95,"LMB",3,33.79115824,-86.08377878
"72",96,"ALB",12,33.79135072,-86.07857039
"73",96,"LMB",4,33.79135072,-86.07857039
"74",97,"ALB",22,33.78956151,-86.0677914
"75",97,"LMB",3,33.78956151,-86.0677914
"76",98,"ALB",17,33.79642056,-86.06634637
"77",98,"LMB",5,33.79642056,-86.06634637
"78",99,"ALB",4,33.79982434,-86.07441521
"79",99,"LMB",5,33.79982434,-86.07441521
"80",101,"ALB",25,33.80626246,-86.06637535
"81",101,"LMB",2,33.80626246,-86.06637535
"82",102,"ALB",5,33.81217166,-86.07207726
"83",102,"LMB",1,33.81217166,-86.07207726
"84",105,"ALB",1,33.81020276,-86.09668973
"85",105,"LMB",2,33.81020276,-86.09668973
"86",106,"ALB",3,33.81577185,-86.09011654
"87",106,"LMB",4,33.81577185,-86.09011654
