,Date,Crew,Site,Peddle.Time..min.,Species,TL..mm.,Reward.Tag..,X2nd.Reward.Tag..,Radio.Tag.Frequency,Code,Combined,Lat,Long
90,12/5/22,TJMAX,39,,LMB,344,746,NA,150.222,I-12,150.222I-12,33.96231,-85.97230167
111,12/5/22,TJMAX,41,,LMB,460,1484,NA,150.222,I-13,150.222I-13,33.94845667,-85.95267167
19,12/8/22,MN,71,56:10:00,LMB,417,1612,NA,150.222,I-14,150.222I-14,,
418,12/12/22,MarcusMax,73,,LMB,397,1618,1619,150.222,I-15,150.222I-15,33.8598,-86.09831
261,6-Dec,MarcusNat,167,,LMB,532,1444,1443,150.222,I-16,150.222I-16,,
299,12/5/22,MarcusNat,47,,LMB,530,21,NA,150.222,I-17,150.222I-17,33.93004,-85.97647
288,12/5/22,MarcusNat,45,,LMB,482,1450,NA,150.222,I-18,150.222I-18,33.97872,-85.99521
304,12/5/22,MarcusNat,47,,LMB,385,16,15,150.222,I-19,150.222I-19,,
708,1/2/23,NATMAX,91,43:00:00,ALB,418,4473,NA,150.222,I-2,150.222I-2,33.78417333,-86.061515
177,12/8/22,MarcusMax,198,,ALB,389,5007,5008,150.222,I-20,150.222I-20,33.98399167,-86
741,1/6/23,TJMARCUS,70,68:08:00,ALB,432,4293,4294,150.222,I-21,150.222I-21,33.87225,-86.05527
749,1/6/23,TJMARCUS,123,73:15:00,ALB,425,1757,NA,150.222,I-22,150.222I-22,34.01268,-85.96716
735,1/6/23,TJMARCUS,197,72:12:00,ALB,490,4299,4297,150.222,I-23,150.222I-23,,
761,1/4/23,TJMARCUS,122,70:53:00,ALB,406,4184,4183,150.222,I-24,150.222I-24,33.86562833,-86.06809
704,1/2/23,NATMAX,88,57:14:00,ALB,490,2417,NA,150.222,I-26,150.222I-26,33.86856,-86.09581
703,1/6/23,MaxParker,101,16:47,ALB,358,4359,NA,150.222,I-3,150.222I-3,,
668,1/2/23,NATMAX,31,32:26:00,LMB,415,5084,NA,150.222,I-4,150.222I-4,33.99363333,-85.99567833
685,1/6/23,MaxParker,88,57:14:00,ALB,415,5061,NA,150.222,I-5,150.222I-5,33.96546,-85.97477
772,1/5/23,TJMARCUS,137,33:40:00,ALB,455,2142,NA,150.222,I-6,150.222I-6,,
441,12/15/22,TJ/Natalie ,1,,ALB,424,4163,NA,150.222,I-8,150.222I-8,33.93383,-85.98814
152,12/7/22,TJMAX,33,,LMB,529,52,51,150.222,J-33,150.222J-33,33.98977,-85.99858
378,,TJMAX,99,,LMB,431,5043,NA,150.222,J-34,150.222J-34,,
44,12/8/22,MN,70,48:30:00,ALB,354,538,NA,150.222,J-35,150.222J-35,33.9219,-86.05926
134,12/6/22,TJMAX,38,,LMB,394,1464,NA,150.222,J-36,150.222J-36,33.96604167,-85.97353167
519,12/12/22,MarcusMax,74,49:03:00,ALB,437,1627,NA,150.222,J-37,150.222J-37,,
154,12/7/22,TJMAX,32,47:22:00,LMB,375,4099,NA,150.222,J-38,150.222J-38,33.99348,-85.9959
205,12/8/22,MarcusMax,101,,ALB,400,5030,NA,150.222,J-41,150.222J-41,33.83266,-86.05499
364,,TJMAX,193,,LMB,518,65,NA,150.222,J39,150.222J39,,
375,,TJMAX,197,,LMB,427,56,NA,150.222,J40,150.222J40,,
516,12/12/22,MarcusMax,74,49:03:00,ALB,477,2424,NA,150.222,L-84,150.222L-84,33.83107,-86.04694
239,12/7/22,MarcusNat,124,60,LMB,453,1404,1403,150.222,L-85,150.222L-85,33.85509,-86.11355
4,12/7/22,MN,128,1:14 (hour),LMB,530,548,NA,150.222,L-86,150.222L-86,33.87398,-86.114
229,12/7/22,MarcusNat,124,60,LMB,512,2399,NA,150.222,L-87,150.222L-87,,
42,12/7/22,MN,128,1:14 (hour),ALB,494,2395,NA,150.222,L-88,150.222L-88,33.86493,-86.10369
202,12/8/22,MarcusMax,101,59:00:00,ALB,370,4060,NA,150.222,L-89,150.222L-89,33.94192,-86.02593333
632,12-Dec,MarcusNatalie,27,58:01:00,ALB,514,1555,NA,150.222,L-90,150.222L-90,34.01584,-85.92477
235,12/7/22,MarcusNat,124,60,LMB,454,1405,NA,150.222,L-91,150.222L-91,,
387,,,99,,ALB,406,2430,NA,150.222,L-92,150.222L-92,,
162,12/8/22,TJMAX,198,43:53:00,LMB,500,4085,NA,150.222,L-93,150.222L-93,33.99256333,-86.01500833
195,12/8/22,MarcusMax,98,,ALB,375,2435,NA,150.222,L-94,150.222L-94,33.80347,-86.06733667
723,1/4/23,NATMAX,6,47:00:00,ALB,395,5057,5058,150.222,L-95,150.222L-95,34.00612,-85.88655
756,1/3/23,TJMARCUS,10,51:18:00,ALB,387,1786,NA,150.222,L-96,150.222L-96,,
711,1/2/23,NATMAX,31,32:26:00,ALB,390,2407,NA,150.222,L-97,150.222L-97,34.00925,-85.99806
740,1/6/23,TJMARCUS,199,35:41:00,ALB,452,1754,NA,150.222,L-98,150.222L-98,34.01142,-85.99702
665,1/2/23,NATMAX,91,43,LMB,366,4475,NA,150.222,L-99,150.222L-99,,
126,12/5/22,TJMAX,42,,LMB,417,1471,NA,150.232,I-75,150.232I-75,,
737,1/6/23,TJMARCUS,197,72:12:00,ALB,364,4296,NA,150.333,I-0,150.333I-0,33.98671,-86.00003
51,12/8/22,MN,120,43:50:00,ALB,420,529,NA,150.333,I-08,150.333I-08,,
670,1/3/23,NATMAX,21,39:06:00,LMB,491,2404,NA,150.333,I-1,150.333I-1,34.01662,-85.93613
406,,,76,,ALB,446,1583,1582,150.333,I-11,150.333I-11,33.87532,-86.05319
