Site,ReleaseEvent,LatDecimalDegrees,LongDecimalDegrees
107,2,33.81778129,-86.0775667
108,2,33.81570166,-86.06985347
109,2,33.82028766,-86.0686669
110,2,33.82416991,-86.06041394
111,2,33.83253205,-86.05894366
112,2,33.8395983,-86.07069442
113,2,33.83884119,-86.08613845
114,2,33.83356449,-86.09962958
115,2,33.8348387,-86.10162394
116,2,33.83892374,-86.09215367
117,2,33.84614591,-86.08079352
118,2,33.84444991,-86.07368564
119,2,33.84618237,-86.06321613
120,2,33.85119626,-86.06214484
121,2,33.85688558,-86.06232324
122,2,33.86473746,-86.07221174
123,2,33.86006546,-86.08628868
124,2,33.85683154,-86.10149534
125,2,33.85399475,-86.11456923
126,2,33.85900013,-86.12356513
127,2,33.85571768,-86.11126204
128,2,33.85866878,-86.10396585
129,2,33.86196687,-86.09977976
130,2,33.87071665,-86.10510928
131,2,33.86948856,-86.11428236
132,2,33.87512005,-86.11108859
133,2,33.87868577,-86.10679074
134,2,33.88663554,-86.11555539
135,2,33.89786459,-86.11006479
136,2,33.90062846,-86.11833636
137,2,33.89994097,-86.1306918
138,2,33.89772939,-86.14205275
139,2,33.89778199,-86.14113942
140,2,33.89902492,-86.13856985
141,2,33.90355821,-86.12781944
142,2,33.9040462,-86.11415925
143,2,33.90676013,-86.1213202
144,2,33.91158528,-86.11285468
145,2,33.90917689,-86.11107415
146,2,33.8983706,-86.10871393
147,2,33.89109478,-86.10688273
148,2,33.88357121,-86.10637089
149,2,33.88176218,-86.10291505
150,2,33.87848292,-86.09408486
151,2,33.87159227,-86.09448401
152,2,33.86716819,-86.0897003
153,2,33.8671674,-86.08624644
154,2,33.86829917,-86.07296373
155,2,33.87277157,-86.07181448
156,2,33.87354652,-86.06728982
157,2,33.87654408,-86.05811814
158,2,33.88718297,-86.06763183
159,2,33.89796963,-86.07467808
160,2,33.90880466,-86.07434223
161,2,33.91919985,-86.06504552
162,2,33.92745544,-86.05284614
163,2,33.93514425,-86.04003503
164,2,33.9436319,-86.02747206
165,2,33.95067392,-86.01422302
166,2,33.95051376,-86.00862897
167,2,33.94785554,-86.00372858
168,2,33.94047631,-85.99128436
169,2,33.93508195,-85.98240997
170,2,33.93680746,-85.97775535
171,2,33.93315052,-85.97156927
172,2,33.93505183,-85.96899716
173,2,33.94245937,-85.96056466
174,2,33.9376577,-85.96067845
175,2,33.9358191,-85.95506192
176,2,33.94780188,-85.95957091
177,2,33.957415,-85.96939755
178,2,33.96154529,-85.97634604
179,2,33.96750588,-85.98441485
180,2,33.9743654,-85.99532949
181,2,33.97750021,-86.0066114
182,2,33.97903028,-86.00528204
183,2,33.98153305,-86
184,2,33.98812652,-86.00530123
185,2,33.98327268,-86.0087605
186,2,33.97853109,-86.0222759
187,2,33.97073998,-86.03207656
188,2,33.97779244,-86.03330889
189,2,33.97663461,-86.02932492
190,2,33.9822339,-86.02702041
191,2,33.98527896,-86.02538327
192,2,33.98660574,-86.02820402
193,2,33.98558586,-86.01840626
194,2,33.99622192,-86.0228399
195,2,34.00096557,-86.01879434
196,2,33.99727,-86.00936808
197,2,33.9918068,-86.01125551
198,2,33.99031712,-86.00200125
199,2,33.99519941,-86.00106921
200,2,34.00848403,-86
201,2,34.01700722,-85.99140308
202,2,34.02516954,-85.98260592
203,2,34.02306565,-85.98013362
204,2,34.02256822,-85.98540564
205,2,34.02027799,-85.97818919
206,2,34.01282815,-85.96748074
207,2,34.01375566,-85.95563762
208,2,34.02025393,-85.95946262
209,2,34.02140403,-85.953228
210,2,34.02598688,-85.94707751
1,3,34.01628551,-85.94557137
2,3,34.01680262,-85.92957953
3,3,34.01807257,-85.92402852
4,3,34.01428108,-85.91328515
5,3,34.00933431,-85.90584915
6,3,34.00596444,-85.90323052
7,3,33.9975159,-85.90323048
8,3,33.98876932,-85.8935841
9,3,33.99338299,-85.88539554
10,3,33.99961511,-85.88293573
11,3,33.9908578,-85.88332756
12,3,33.98761449,-85.8981915
13,3,33.9990964,-85.90549288
14,3,34.01145924,-85.91107092
15,3,34.01355925,-85.92179977
16,3,34.00822565,-85.92344695
17,3,33.99858897,-85.92415462
18,3,34.00172281,-85.92973903
19,3,34.00891505,-85.9275209
20,3,34.01500363,-85.9260727
21,3,34.01572051,-85.94111653
22,3,34.01210059,-85.93846803
23,3,34.01436952,-85.94040426
24,3,34.01236499,-85.94901232
25,3,34.01063806,-85.95522414
26,3,34.00719688,-85.95680718
27,3,34.01054997,-85.96464629
28,3,34.01719545,-85.97772954
29,3,34.01826296,-85.9888284
30,3,34.01256544,-85.9945184
31,3,34.00530715,-85.9992684
32,3,33.99501705,-85.99977852
33,3,33.99581705,-85.99383139
34,3,33.98346575,-85.99794196
35,3,33.97843336,-85.99412534
36,3,33.97008002,-85.98417974
37,3,33.97308528,-85.97917557
38,3,33.96399742,-85.97012871
39,3,33.966921,-85.96429853
40,3,33.95959794,-85.96293012
41,3,33.95791902,-85.96367204
42,3,33.95273164,-85.95827413
43,3,33.94967998,-85.95514884
44,3,33.95914295,-85.95627928
45,3,33.94844029,-85.95134739
46,3,33.93932905,-85.95093867
47,3,33.93360177,-85.95417948
48,3,33.93127289,-85.96998798
49,3,33.92832637,-85.98369413
50,3,33.93405915,-85.99320838
51,3,33.94244957,-86.00531957
52,3,33.94287632,-86.01391303
53,3,33.94443643,-86.01982404
54,3,33.93686054,-86.02179289
55,3,33.93892098,-86.02896857
56,3,33.93525302,-86.0319258
57,3,33.93310833,-86.0304162
58,3,33.92613424,-86.04277462
59,3,33.92074898,-86.05445562
60,3,33.91679264,-86.06017531
61,3,33.91322137,-86.06218007
62,3,33.90271324,-86.06921664
63,3,33.90025294,-86.06523263
64,3,33.89083695,-86.06408546
65,3,33.88197744,-86.05206192
66,3,33.88418897,-86.05015104
67,3,33.88663442,-86.04866362
68,3,33.8858574,-86.04491396
69,3,33.88276337,-86.04180611
70,3,33.87898657,-86.0409414
71,3,33.87195876,-86.05455109
72,3,33.86547084,-86.06186689
73,3,33.85859905,-86.05218741
74,3,33.8590745,-86.04381273
75,3,33.8473324,-86.05024701
76,3,33.84068838,-86.06346255
77,3,33.83680058,-86.05161749
78,3,33.83221368,-86.04883187
79,3,33.83002654,-86.0456985
80,3,33.82597368,-86.04563492
81,3,33.81720088,-86.05499323
82,3,33.81840407,-86.04780647
83,3,33.81580705,-86.0404117
84,3,33.81326834,-86.03991357
85,3,33.81677395,-86.05132649
86,3,33.81125326,-86.06176509
87,3,33.80388358,-86.05562737
88,3,33.79843895,-86.05704445
89,3,33.79294474,-86.05583841
90,3,33.79167422,-86.05046446
91,3,33.78712945,-86.05288195
92,3,33.78433463,-86.06472162
93,3,33.78070822,-86.07290034
94,3,33.78912488,-86.0719763
95,3,33.79115824,-86.08377878
96,3,33.79135072,-86.07857039
97,3,33.78956151,-86.0677914
98,3,33.79642056,-86.06634637
99,3,33.79982434,-86.07441521
100,3,33.80549759,-86.07971097
101,3,33.80626246,-86.06637535
102,3,33.81217166,-86.07207726
103,3,33.81141801,-86.08779813
104,3,33.8063268,-86.10240601
105,3,33.81020276,-86.09668973
106,3,33.81577185,-86.09011654
107,3,33.81778129,-86.0775667
108,3,33.81570166,-86.06985347
109,3,33.82028766,-86.0686669
110,3,33.82416991,-86.06041394
111,3,33.83253205,-86.05894366
112,3,33.8395983,-86.07069442
113,3,33.83884119,-86.08613845
114,3,33.83356449,-86.09962958
115,3,33.8348387,-86.10162394
116,3,33.83892374,-86.09215367
117,3,33.84614591,-86.08079352
118,3,33.84444991,-86.07368564
119,3,33.84618237,-86.06321613
120,3,33.85119626,-86.06214484
121,3,33.85688558,-86.06232324
122,3,33.86473746,-86.07221174
123,3,33.86006546,-86.08628868
124,3,33.85683154,-86.10149534
125,3,33.85399475,-86.11456923
126,3,33.85900013,-86.12356513
127,3,33.85571768,-86.11126204
128,3,33.85866878,-86.10396585
129,3,33.86196687,-86.09977976
130,3,33.87071665,-86.10510928
131,3,33.86948856,-86.11428236
132,3,33.87512005,-86.11108859
133,3,33.87868577,-86.10679074
134,3,33.88663554,-86.11555539
135,3,33.89786459,-86.11006479
136,3,33.90062846,-86.11833636
137,3,33.89994097,-86.1306918
138,3,33.89772939,-86.14205275
139,3,33.89778199,-86.14113942
140,3,33.89902492,-86.13856985
141,3,33.90355821,-86.12781944
142,3,33.9040462,-86.11415925
143,3,33.90676013,-86.1213202
144,3,33.91158528,-86.11285468
145,3,33.90917689,-86.11107415
146,3,33.8983706,-86.10871393
147,3,33.89109478,-86.10688273
148,3,33.88357121,-86.10637089
149,3,33.88176218,-86.10291505
150,3,33.87848292,-86.09408486
151,3,33.87159227,-86.09448401
152,3,33.86716819,-86.0897003
153,3,33.8671674,-86.08624644
154,3,33.86829917,-86.07296373
155,3,33.87277157,-86.07181448
156,3,33.87354652,-86.06728982
157,3,33.87654408,-86.05811814
158,3,33.88718297,-86.06763183
159,3,33.89796963,-86.07467808
160,3,33.90880466,-86.07434223
161,3,33.91919985,-86.06504552
162,3,33.92745544,-86.05284614
163,3,33.93514425,-86.04003503
164,3,33.9436319,-86.02747206
165,3,33.95067392,-86.01422302
166,3,33.95051376,-86.00862897
167,3,33.94785554,-86.00372858
168,3,33.94047631,-85.99128436
169,3,33.93508195,-85.98240997
170,3,33.93680746,-85.97775535
171,3,33.93315052,-85.97156927
172,3,33.93505183,-85.96899716
173,3,33.94245937,-85.96056466
174,3,33.9376577,-85.96067845
175,3,33.9358191,-85.95506192
176,3,33.94780188,-85.95957091
177,3,33.957415,-85.96939755
178,3,33.96154529,-85.97634604
179,3,33.96750588,-85.98441485
180,3,33.9743654,-85.99532949
181,3,33.97750021,-86.0066114
182,3,33.97903028,-86.00528204
183,3,33.98153305,-86
184,3,33.98812652,-86.00530123
185,3,33.98327268,-86.0087605
186,3,33.97853109,-86.0222759
187,3,33.97073998,-86.03207656
188,3,33.97779244,-86.03330889
189,3,33.97663461,-86.02932492
190,3,33.9822339,-86.02702041
191,3,33.98527896,-86.02538327
192,3,33.98660574,-86.02820402
193,3,33.98558586,-86.01840626
194,3,33.99622192,-86.0228399
195,3,34.00096557,-86.01879434
196,3,33.99727,-86.00936808
197,3,33.9918068,-86.01125551
198,3,33.99031712,-86.00200125
199,3,33.99519941,-86.00106921
200,3,34.00848403,-86
201,3,34.01700722,-85.99140308
202,3,34.02516954,-85.98260592
203,3,34.02306565,-85.98013362
204,3,34.02256822,-85.98540564
205,3,34.02027799,-85.97818919
206,3,34.01282815,-85.96748074
207,3,34.01375566,-85.95563762
208,3,34.02025393,-85.95946262
209,3,34.02140403,-85.953228
210,3,34.02598688,-85.94707751
